source,target,weight
Washington State,Central Washington,15
Washington State,Oregon State,7
Washington State,Western Washington University,15
Gonzaga,Washington State,13
Gonzaga,Utah,6
Gonzaga,Boise State,8
Gonzaga,Brigham Young,12
Gonzaga,Idaho,9
Gonzaga,Willamette University,13
Gonzaga,Whitworth,8
Gonzaga,Washington,14
Gonzaga,Western Washington University,12
Gonzaga,Lewis & Clark,13
Gonzaga,Western Washington,13
Gonzaga,Puget Sound,13
Gonzaga,Portland State,13
Gonzaga,Oregon State,9
Gonzaga,Whitman,7
Utah,Gonzaga,13
Utah,Brigham Young,13
Utah,Boise State,13
Utah,Washington State,13
Utah,Utah State,10
Utah,Montana State,11
Utah,Idaho,15
Utah,Victoria,7
Utah,British Columbia,10
Utah,Montana,12
Utah,Washington,9
Utah,Oregon State,14
Utah,Whitman,12
Utah,Denver,13
Utah,Texas State,10
Utah,Oklahoma,12
Utah,Iowa State,13
Utah,Colorado State,11
Utah,Texas A&M,9
Utah,Texas-Dallas,14
Utah,California-Santa Barbara,9
Utah,California-San Diego,7
Utah,Cal Poly-SLO,3
Utah,Illinois,10
Utah,California-Davis,8
Utah,California-Santa Cruz,8
Utah,Arizona,7
Utah,Colorado School of Mines,0
Utah,UCLA,10
Utah,Southern California,7
Utah,California,13
Utah,Nevada-Reno,9
North Carolina-Charlotte,North Carolina,4
North Carolina-Charlotte,East Carolina,6
North Carolina-Charlotte,South Carolina,4
North Carolina-Charlotte,Wake Forest,13
North Carolina-Charlotte,Duke,8
North Carolina-Charlotte,Clemson,9
North Carolina-Charlotte,Charleston,11
North Carolina-Charlotte,Edinboro,13
North Carolina-Charlotte,Georgia,13
North Carolina-Charlotte,Appalachian State,12
North Carolina-Charlotte,Penn State,8
North Carolina-Charlotte,Virginia Tech,3
North Carolina-Charlotte,SUNY-Buffalo,11
North Carolina-Charlotte,Johns Hopkins,8
North Carolina-Charlotte,James Madison,15
North Carolina-Charlotte,Williams,12
North Carolina-Charlotte,Carnegie Mellon,6
North Carolina-Charlotte,North Carolina State,7
North Carolina-Charlotte,Alabama,7
North Carolina-Charlotte,Notre Dame,10
North Carolina-Charlotte,Tennessee,6
North Carolina-Charlotte,Chicago,15
Charleston,North Carolina-Wilmington,0
Charleston,North Carolina State,2
Charleston,Wake Forest,11
Charleston,Duke,4
Charleston,Clemson,10
Charleston,Appalachian State,1
Charleston,East Carolina,3
Charleston,North Carolina-Charlotte,8
Charleston,Anderson,9
Charleston,Edinboro,10
Charleston,Wingate,9
Charleston,South Florida,7
Charleston,North Carolina-Asheville,7
Charleston,Georgia,7
Charleston,South Carolina,4
Charleston,Florida,15
Charleston,Carleton Hot Karls,15
Charleston,North Florida,15
Clemson,Wake Forest,11
